,id,retweet_count,favorite_count,lang
0,892420643555336193,8853,39467,en
1,892177421306343426,6514,33819,en
2,891815181378084864,4328,25461,en
3,891689557279858688,8964,42908,en
4,891327558926688256,9774,41048,en
5,891087950875897856,3261,20562,en
6,890971913173991426,2158,12041,en
7,890729181411237888,16716,56848,en
8,890609185150312448,4429,28226,en
9,890240255349198849,7711,32467,en
10,890006608113172480,7624,31166,en
11,889880896479866881,5156,28268,en
12,889665388333682689,8538,38818,en
13,889638837579907072,4735,27672,en
14,889531135344209921,2321,15359,en
15,889278841981685760,5637,25652,en
16,888917238123831296,4709,29611,en
17,888804989199671297,4559,26080,en
18,888554962724278272,3732,20290,en
19,888078434458587136,3653,22201,en
20,887705289381826560,5609,30779,en
21,887517139158093824,12082,46959,en
22,887473957103951883,18781,69871,en
23,887343217045368832,10737,34222,en
24,887101392804085760,6167,31061,en
25,886983233522544640,8084,35859,en
26,886736880519319552,3443,12306,en
27,886680336477933568,4610,22798,en
28,886366144734445568,3316,21524,en
29,886267009285017600,4,117,en
30,886258384151887873,6523,28469,en
31,886054160059072513,108,0,und
32,885984800019947520,7097,33382,en
33,885528943205470208,6683,36689,en
34,885518971528720385,3899,20788,en
35,885311592912609280,19297,0,en
36,885167619883638784,4556,22367,en
37,884925521741709313,16439,68152,en
38,884876753390489601,6096,28514,en
39,884562892145688576,5100,24765,en
40,884441805382717440,5856,27478,en
41,884247878851493888,21298,74423,en
42,884162670584377345,3128,20771,en
43,883838122936631299,3586,22349,en
44,883482846933004288,10407,46860,en
45,883360690899218434,3825,22986,en
46,883117836046086144,6949,37914,en
47,882992080364220416,4122,24445,en
48,882762694511734784,5134,28903,en
49,882627270321602560,6342,28382,en
50,882268110199369728,12118,45880,en
51,882045870035918850,5203,29900,en
52,881906580714921986,3533,24773,en
53,881666595344535552,11099,51522,en
54,881633300179243008,7,129,en
55,881536004380872706,16570,50199,en
56,881268444196462592,5358,23501,en
57,880935762899988482,2886,17346,en
58,880872448815771648,3989,21734,en
59,880465832366813184,6546,29075,en
60,880221127280381952,4436,27640,en
61,880095782870896641,4533,28150,en
62,879862464715927552,3642,22667,en
63,879674319642796034,10,315,en
64,879492040517615616,3323,23822,en
65,879415818425184262,45849,107956,en
66,879376492567855104,3261,17099,en
67,879130579576475649,7181,0,en
68,879050749262655488,4941,23022,en
69,879008229531029506,2812,19317,en
70,878776093423087618,4319,19763,en
71,878604707211726852,7582,30931,en
72,878404777348136964,1349,0,en
73,878316110768087041,6965,0,en
74,878281511006478336,1349,7913,en
75,878057613040115712,7181,42876,en
76,877736472329191424,17300,71144,en
77,877611172832227328,83,0,en
78,877556246731214848,3994,23258,en
79,877316821321428993,5414,27907,en
80,877201837425926144,5880,27755,en
81,876838120628539392,3506,21125,en
82,876537666061221889,4800,23869,en
83,876484053909872640,2511,19163,en
84,876120275196170240,4903,28490,en
85,875747767867523072,4497,25773,en
86,875144289856114688,5081,22185,en
87,875097192612077568,6342,27997,en
88,875021211251597312,4922,26022,en
89,874680097055178752,4875,28439,en
90,874434818259525634,15546,0,en
91,874296783580663808,4308,26651,en
92,874057562936811520,4125,23134,en
93,874012996292530176,11007,35501,en
94,873697596434513921,12518,0,en
95,873580283840344065,4143,24837,en
96,873337748698140672,1667,0,en
97,873213775632977920,1667,7467,en
98,872967104147763200,5669,28031,en
99,872820683541237760,3884,15029,en
100,872668790621863937,31,0,en
101,872620804844003328,3911,21309,en
102,872486979161796608,9429,41606,en
103,872261713294495745,6649,35085,en
104,872122724285648897,8549,35324,en
105,871879754684805121,11918,39090,en
106,871762521631449091,3678,20787,en
107,871515927908634625,3628,20730,en
108,871166179821445120,5991,0,en
109,871102520638267392,5764,21461,en
110,871032628920680449,3999,23255,en
111,870804317367881728,6393,33791,en
112,870726314365509632,3,121,en
113,870656317836468226,2817,12819,en
114,870374049280663552,27680,85011,en
115,870308999962521604,4384,22453,en
116,870063196459192321,8840,37771,en
117,869988702071779329,25661,0,en
118,869772420881756160,10663,43710,en
119,869702957897576449,6728,29116,en
120,869596645499047938,3327,16476,en
121,869227993411051520,4023,21112,en
122,868880397819494401,12518,55098,en
123,868639477480148993,2240,0,en
124,868622495443632128,6275,28295,en
125,868552278524837888,2240,10539,en
126,867900495410671616,4439,24964,en
127,867774946302451713,7788,35179,en
128,867421006826221569,2697,16755,en
129,867072653475098625,135,0,en
130,867051520902168576,8425,33420,en
131,866816280283807744,32883,0,en
132,866720684873056260,5168,20888,en
133,866686824827068416,3727,20070,en
134,866450705531457537,32883,106827,en
135,866334964761202691,15546,54720,en
136,866094527597207552,8952,0,en
137,865718153858494464,6008,26640,en
138,865359393868664832,5384,27530,en
139,865006731092295680,8209,29063,en
140,864873206498414592,9361,33651,en
141,864279568663928832,3266,15195,en
142,864197398364647424,9616,31459,en
143,863907417377173506,4441,21477,en
144,863553081350529029,4489,15935,en
145,863471782782697472,2687,0,en
146,863432100342583297,5664,24829,en
147,863427515083354112,105,2363,en
148,863079547188785154,1195,9094,en
149,863062471531167744,2687,8945,en
150,862831371563274240,5457,20011,en
151,862722525377298433,3809,17779,en
152,862457590147678208,5388,21492,en
153,862096992088072192,21840,66437,en
154,861769973181624320,37911,0,en
155,861383897657036800,11528,37744,en
156,861288531465048066,4479,18032,en
157,861005113778896900,4119,17538,en
158,860981674716409858,2334,0,en
159,860924035999428608,882,0,en
160,860563773140209665,2334,7878,en
161,860524505164394496,5698,24678,en
162,860276583193509888,3745,19154,en
163,860184849394610176,6295,17474,en
164,860177593139703809,33421,0,in
165,859924526012018688,4349,20021,en
166,859851578198683649,3780,16105,en
167,859607811541651456,1704,19476,en
168,859196978902773760,25661,75193,en
169,859074603037188101,14740,35553,en
170,858860390427611136,8805,0,en
171,858843525470990336,3771,16304,en
172,858471635011153920,5271,22640,en
173,858107933456039936,3154,16524,en
174,857989990357356544,2812,16952,en
175,857746408056729600,11524,36021,en
176,857393404942143489,1785,6236,en
177,857263160327368704,4934,21041,en
178,857214891891077121,20,242,en
179,857062103051644929,183,0,en
180,857029823797047296,4364,19910,en
181,856602993587888130,11633,0,en
182,856543823941562368,3131,17135,en
183,856526610513747968,2068,12446,en
184,856330835276025856,731,0,en
185,856288084350160898,17,545,en
186,856282028240666624,6841,29086,en
187,855862651834028034,27,320,en
188,855860136149123072,1058,4407,en
189,855857698524602368,2313,12498,en
190,855851453814013952,19196,47844,en
191,855818117272018944,5943,28056,en
192,855459453768019968,8987,31657,en
193,855245323840757760,6568,0,en
194,855138241867124737,50,0,en
195,854732716440526848,6690,24188,en
196,854482394044301312,7608,31131,en
197,854365224396361728,5159,20046,en
198,854120357044912130,8285,33911,en
199,854010172552949760,3433,17169,en
200,853760880890318849,6403,30414,en
201,853639147608842240,11265,37198,en
202,853299958564483072,3928,16508,en
203,852936405516943360,2243,0,en
204,852912242202992640,2037,9658,en
205,852672615818899456,2388,15939,en
206,852553447878664193,3885,17492,en
207,852311364735569921,10961,35325,en
208,852226086759018497,7570,21378,en
209,852189679701164033,1741,12217,en
210,851953902622658560,10706,0,en
211,851861385021730816,23,0,en
212,851591660324737024,3819,17300,en
213,851464819735769094,7855,25944,en
214,851224888060895234,6350,22090,en
215,850753642995093505,10352,33348,en
216,850380195714523136,2915,13994,en
217,850333567704068097,367,3647,en
218,850145622816686080,4244,17519,en
219,850019790995546112,5459,21944,en
220,849776966551130114,8404,32390,en
221,849668094696017920,5513,0,en
222,849412302885593088,3487,17039,en
223,849336543269576704,2101,12240,en
224,849051919805034497,7396,32617,en
225,848690551926992896,4826,27104,en
226,848324959059550208,4037,20229,en
227,848213670039564288,832,8834,en
228,848212111729840128,3444,17618,en
229,847978865427394560,3652,0,en
230,847971574464610304,482,0,en
231,847962785489326080,5730,25296,en
232,847842811428974592,1522,5935,en
233,847617282490613760,468,7558,en
234,847606175596138505,3774,20208,en
235,847251039262605312,4800,22036,en
236,847157206088847362,6572,21588,en
237,847116187444137987,3583,23108,en
238,846874817362120707,4404,21685,en
239,846514051647705089,13076,48410,en
240,846505985330044928,3492,15304,en
241,846153765933735936,10226,34394,en
242,846139713627017216,10972,33188,en
243,846042936437604353,3224,17256,en
244,845812042753855489,9894,31737,en
245,845677943972139009,5365,27154,en
246,845459076796616705,15071,0,en
247,845397057150107648,2072,8241,en
248,845306882940190720,6039,25225,en
249,845098359547420673,8640,0,en
250,844979544864018432,2909,14738,en
251,844973813909606400,3617,16361,en
252,844704788403113984,11633,42022,en
253,844580511645339650,3533,17871,en
254,844223788422217728,2450,14753,en
255,843981021012017153,3285,16327,en
256,843856843873095681,5220,23211,en
257,843604394117681152,3081,18310,en
258,843235543001513987,6852,23315,en
259,842892208864923648,56625,0,en
260,842846295480000512,4023,16440,en
261,842765311967449089,1439,7321,en
262,842535590457499648,3937,19637,en
263,842163532590374912,6568,26569,en
264,842115215311396866,3386,15204,en
265,841833993020538882,17504,0,en
266,841680585030541313,8748,27854,en
267,841439858740625411,4168,13755,en
268,841320156043304961,6080,21402,en
269,841314665196081154,5312,17305,en
270,841077006473256960,5991,24926,en
271,840761248237133825,1972,0,en
272,840728873075638272,18285,0,en
273,840698636975636481,3,197,en
274,840696689258311684,1116,13377,en
275,840632337062862849,1972,9761,en
276,840370681858686976,5146,17918,en
277,840268004936019968,6497,20950,en
278,839990271299457024,2597,14640,en
279,839549326359670784,8805,29957,en
280,839290600511926273,158,0,en
281,839239871831150596,7422,29684,en
282,838952994649550848,4505,21289,en
283,838921590096166913,2357,12183,en
284,838916489579200512,38,0,en
285,838831947270979586,12643,0,en
286,838561493054533637,1504,11892,en
287,838476387338051585,5484,24664,en
288,838201503651401729,11525,0,en
289,838150277551247360,370,1824,und
290,838085839343206401,0,150,en
291,838083903487373313,3582,19183,en
292,837820167694528512,8952,37277,en
293,837482249356513284,495,4204,en
294,837471256429613056,2631,13967,en
295,837366284874571778,6005,23074,en
296,837110210464448512,2731,17480,en
297,837012587749474308,88,0,en
298,836989968035819520,2610,13879,en
299,836753516572119041,5237,21029,en
300,836677758902222849,2522,13782,en
301,836648853927522308,626,0,en
302,836397794269200385,31314,0,en
303,836380477523124226,3337,16037,en
304,836260088725786625,4850,23177,en
305,836001077879255040,4935,20924,en
306,835685285446955009,9327,0,en
307,835574547218894849,4121,19447,en
308,835536468978302976,1939,0,en
309,835309094223372289,24013,0,en
310,835297930240217089,3381,17847,en
311,835264098648616962,1939,8503,en
312,835246439529840640,83,2259,en
313,835172783151792128,6516,28552,en
314,835152434251116546,3443,24574,en
315,834931633769889797,1878,11838,en
316,834786237630337024,6159,22943,en
317,834574053763584002,2882,14993,en
318,834477809192075265,12224,0,en
319,834458053273591808,1899,10512,en
320,834209720923721728,5476,22594,en
321,834167344700198914,4130,17194,en
322,834089966724603904,2427,10971,en
323,834086379323871233,2512,14296,en
324,833863086058651648,2729,14661,en
325,833826103416520705,3904,16728,en
326,833732339549220864,251,0,en
327,833722901757046785,3636,22585,en
328,833479644947025920,2357,16258,en
329,833124694597443584,5513,22133,en
330,832998151111966721,2522,14549,en
331,832769181346996225,43,0,en
332,832757312314028032,4127,18423,en
333,832682457690300417,3368,13017,en
334,832645525019123713,594,3195,en
335,832636094638288896,3220,17379,en
336,832397543355072512,2548,13126,en
337,832369877331693569,3652,18792,en
338,832273440279240704,2673,12385,en
339,832215909146226688,7069,0,en
340,832215726631055365,10723,0,en
341,832088576586297345,3,72,en
342,832040443403784192,11131,0,en
343,832032802820481025,4746,13887,en
344,831939777352105988,7031,26404,en
345,831926988323639298,39,369,en
346,831911600680497154,7458,30380,en
347,831670449226514432,2059,11469,en
348,831650051525054464,2243,7908,en
349,831552930092285952,2632,9872,en
350,831322785565769729,1744,10042,en
351,831315979191906304,1264,7117,en
352,831309418084069378,2786,12819,en
353,831262627380748289,2350,13066,en
354,830956169170665475,1735,8735,en
355,830583320585068544,19297,73397,en
356,830173239259324417,6554,0,en
357,830097400375152640,3455,10804,en
358,829878982036299777,5757,0,en
359,829861396166877184,2243,13441,en
360,829501995190984704,12224,34913,en
361,829449946868879360,2329,11519,en
362,829374341691346946,10706,38074,en
363,829141528400556032,8530,26952,en
364,829011960981237760,18627,58302,en
365,828801551087042563,3901,0,en
366,828770345708580865,6746,28085,en
367,828708714936930305,12882,40241,en
368,828650029636317184,1544,10467,en
369,828409743546925057,1305,6898,en
370,828408677031882754,1477,8398,en
371,828381636999917570,2554,13864,en
372,828376505180889089,1216,8112,en
373,828372645993398273,3344,13756,en
374,828361771580813312,195,2408,en
375,828046555563323392,3260,12923,en
376,828011680017821696,2451,11411,en
377,827933404142436356,5987,22180,en
378,827653905312006145,3433,16983,en
379,827600520311402496,1082,8143,en
380,827324948884643840,3510,17523,en
381,827228250799742977,13517,0,en
382,827199976799354881,2579,11659,en
383,826958653328592898,5757,23767,en
384,826848821049180160,11878,40325,en
385,826615380357632002,4521,0,en
386,826598799820865537,292,5637,en
387,826598365270007810,2709,11117,en
388,826476773533745153,4821,20275,en
389,826240494070030336,2965,14614,en
390,826204788643753985,1075,5361,en
391,826115272272650244,3599,17299,en
392,825876512159186944,2146,11525,en
393,825829644528148480,2848,14025,en
394,825535076884762624,19669,56413,en
395,825147591692263424,5244,20181,en
396,825120256414846976,1483,0,en
397,825026590719483904,1483,7020,en
398,824796380199809024,6288,0,en
399,824775126675836928,4069,16508,en
400,824663926340194305,1993,11113,en
401,824325613288833024,11848,12999,en
402,824297048279236611,4463,16625,en
403,824025158776213504,679,5255,en
404,823939628516474880,3123,11755,en
405,823719002937630720,12953,0,en
406,823699002998870016,2772,13826,en
407,823581115634085888,3031,14376,en
408,823333489516937216,31,777,und
409,823322678127919110,4637,17437,en
410,823269594223824897,11421,0,en
411,822975315408461824,3958,19139,en
412,822872901745569793,48265,132810,en
413,822859134160621569,2622,14576,en
414,822647212903690241,7390,0,en
415,822610361945911296,3423,16327,en
416,822489057087389700,7390,20083,en
417,822462944365645825,17209,31800,en
418,822244816520155136,11421,38832,en
419,822163064745328640,5571,0,en
420,821886076407029760,2692,12582,en
421,821813639212650496,3839,0,en
422,821765923262631936,1899,9317,en
423,821522889702862852,2030,8871,en
424,821421320206483457,6470,0,en
425,821407182352777218,5053,13075,en
426,821153421864615936,10,280,en
427,821149554670182400,2320,9718,en
428,821107785811234820,2487,10645,en
429,821044531881721856,2636,14021,en
430,820837357901512704,7733,0,en
431,820749716845686786,11525,34984,en
432,820690176645140481,3716,13518,en
433,820494788566847489,648,0,en
434,820446719150292993,2980,0,en
435,820314633777061888,648,3706,en
436,820078625395449857,7246,21979,en
437,820013781606658049,1369,0,en
438,819952236453363712,1369,5927,en
439,819924195358416896,5607,14305,en
440,819711362133872643,3604,14916,en
441,819588359383371776,2271,10606,en
442,819347104292290561,1383,8008,en
443,819238181065359361,462,2550,en
444,819227688460238848,7733,25652,en
445,819015337530290176,42228,0,en
446,819015331746349057,21794,0,en
447,819006400881917954,21794,49960,en
448,819004803107983360,42228,95450,en
449,818646164899774465,24069,0,en
450,818627210458333184,8564,24597,en
451,818614493328580609,2982,10971,en
452,818588835076603904,7126,0,en
453,818536468981415936,2873,12127,en
454,818307523543449600,9366,0,en
455,818259473185828864,2621,12197,en
456,818145370475810820,3014,13671,en
457,817908911860748288,906,5356,en
458,817827839487737858,31314,57622,en
459,817777686764523521,3084,11901,en
460,817536400337801217,3505,13105,en
461,817502432452313088,3917,0,en
462,817423860136083457,17504,38260,en
463,817415592588222464,1131,6267,en
464,817181837579653120,9907,0,en
465,817171292965273600,2326,9690,en
466,817120970343411712,3011,13367,en
467,817056546584727552,1927,9517,en
468,816829038950027264,5496,0,en
469,816816676327063552,2361,11071,en
470,816697700272001025,2545,10905,en
471,816450570814898180,9366,33961,en
472,816336735214911488,2269,9564,en
473,816091915477250048,2500,9927,en
474,816062466425819140,1207,0,en
475,816014286006976512,6154,0,en
476,815990720817401858,1207,5545,en
477,815966073409433600,9907,25057,en
478,815745968457060357,4797,0,en
479,815736392542261248,2625,10937,en
480,815639385530101762,1918,9161,en
481,815390420867969024,4407,11467,en
482,814986499976527872,1505,8485,en
483,814638523311648768,3130,12511,en
484,814578408554463233,6750,0,en
485,814530161257443328,2156,9629,en
486,814153002265309185,10080,32000,en
487,813944609378369540,3732,0,en
488,813910438903693312,2194,10342,en
489,813812741911748608,16267,40402,en
490,813800681631023104,2060,9300,en
491,813217897535406080,8476,20783,en
492,813202720496779264,2090,10192,en
493,813187593374461952,5096,22085,en
494,813172488309972993,2236,10384,en
495,813157409116065792,2557,8588,en
496,813142292504645637,2728,9361,en
497,813130366689148928,513,4968,en
498,813127251579564032,3652,13242,en
499,813112105746448384,3225,11515,en
500,813096984823349248,4207,11694,en
501,813081950185472002,3220,10989,en
502,813066809284972545,2276,8865,en
503,813051746834595840,8503,23337,en
504,812781120811126785,2191,8380,en
505,812747805718642688,8067,0,en
506,812709060537683968,1665,7373,en
507,812503143955202048,1424,6787,en
508,812466873996607488,2231,8900,en
509,812372279581671427,4252,15224,en
510,811985624773361665,1647,8102,en
511,811744202451197953,1884,8429,en
512,811647686436880384,872,6215,en
513,811627233043480576,3650,14265,en
514,811386762094317568,7444,23302,en
515,810984652412424192,1655,5927,en
516,810896069567610880,2090,10093,en
517,810657578271330305,3057,12192,en
518,810284430598270976,13369,39640,en
519,810254108431155201,3901,16380,en
520,809920764300447744,4521,17250,en
521,809808892968534016,5711,0,en
522,809448704142938112,1696,7727,en
523,809220051211603969,6554,22246,en
524,809084759137812480,4046,14685,en
525,808838249661788160,3536,11271,en
526,808733504066486276,2509,8784,en
527,808501579447930884,3007,12595,en
528,808344865868283904,24069,47281,en
529,808134635716833280,6961,0,en
530,808106460588765185,2525,9701,en
531,808001312164028416,4098,14015,en
532,807621403335917568,4288,16236,en
533,807106840509214720,56625,107015,en
534,807059379405148160,8521,0,en
535,807010152071229440,4418,14514,en
536,806629075125202948,37911,75639,en
537,806620845233815552,6426,0,en
538,806576416489959424,2230,5370,en
539,806542213899489280,2752,11363,en
540,806242860592926720,13616,0,en
541,806219024703037440,1388,7145,en
542,805958939288408065,6238,0,en
543,805932879469572096,2209,9178,en
544,805826884734976000,2132,7335,en
545,805823200554876929,9374,0,en
546,805520635690676224,1905,6368,en
547,805487436403003392,2929,9773,en
548,805207613751304193,1972,8680,en
549,804738756058218496,4480,15326,en
550,804475857670639616,2355,6886,en
551,804413760345620481,3712,0,en
552,804026241225523202,18876,49774,en
553,803773340896923648,3220,11203,en
554,803692223237865472,8689,0,en
555,803638050916102144,4828,12270,en
556,803380650405482500,2169,8601,en
557,803321560782307329,6221,0,en
558,803276597545603072,2887,11207,en
559,802952499103731712,2336,10085,en
560,802624713319034886,3403,0,en
561,802600418706604034,1714,7938,en
562,802572683846291456,2926,9959,en
563,802323869084381190,6808,18124,en
564,802265048156610565,1573,7039,en
565,802247111496568832,5247,0,en
566,802239329049477120,3040,10132,en
567,802185808107208704,314,0,en
568,801958328846974976,1992,8608,en
569,801854953262350336,275,1958,en
570,801538201127157760,2391,9141,en
571,801285448605831168,960,6802,en
572,801167903437357056,6961,27386,en
573,801127390143516673,4627,0,en
574,801115127852503040,2429,8992,en
575,800859414831898624,113,778,en
576,800855607700029440,1889,0,en
577,800751577355128832,3214,11701,en
578,800513324630806528,3495,14685,en
579,800459316964663297,2489,10538,en
580,800443802682937345,5068,0,en
581,800388270626521089,3265,12456,en
582,800188575492947969,4581,0,en
583,800141422401830912,2980,17092,en
584,800018252395122689,15351,31768,en
585,799774291445383169,5488,0,en
586,799757965289017345,2506,9390,en
587,799422933579902976,2213,8965,en
588,799308762079035393,6478,0,en
589,799297110730567681,3227,11065,en
